time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2024-09-24T09:07:09.60Z,47.1189643,11.3743749,2495.824,4.67,-1.88,1.03,0.729,1.252,0.49,3.20936,3.0,338.5983,16
2024-09-24T09:07:09.80Z,47.1189719,11.3743705,2495.331,3.83,-1.66,3.78,0.743,1.243,0.46,4.03493,3.0,337.74059,17
2024-09-24T09:07:10.00Z,47.1189784,11.3743657,2494.251,3.45,-1.87,5.71,0.757,1.239,0.36,4.36877,3.0,334.78,17
2024-09-24T09:07:10.20Z,47.1189849,11.3743612,2492.897,3.79,-1.63,7.23,0.774,1.249,0.5,5.31245,3.0,336.68341,17
2024-09-24T09:07:10.40Z,47.1189914,11.3743571,2491.22,3.67,-1.64,9.32,0.796,1.237,0.38,3.79715,3.0,335.95909,16
2024-09-24T09:07:10.60Z,47.118998,11.3743527,2489.071,3.91,-1.67,11.05,0.81,1.226,0.33,3.1457,3.0,336.81659,17
2024-09-24T09:07:10.80Z,47.1190047,11.3743481,2486.435,4.25,-1.72,12.47,0.818,1.235,0.36,2.29024,3.0,338.03353,17
2024-09-24T09:07:11.00Z,47.1190117,11.3743436,2483.581,4.14,-1.72,14.36,0.817,1.224,0.33,1.89001,3.0,337.44221,16
2024-09-24T09:07:11.20Z,47.119019,11.3743392,2480.428,4.23,-1.8,16.3,0.83,1.214,0.34,2.55342,3.0,336.92077,14
2024-09-24T09:07:11.40Z,47.1190259,11.374335,2476.901,4.0,-1.78,18.42,0.848,1.202,0.36,2.21884,3.0,335.97555,14
2024-09-24T09:07:11.60Z,47.1190332,11.3743303,2473.028,4.34,-1.99,19.96,0.87,1.198,0.37,2.62659,3.0,335.37626,14
2024-09-24T09:07:11.80Z,47.1190405,11.3743253,2468.751,4.3,-2.25,21.84,0.891,1.194,0.38,2.44135,3.0,332.43815,15
2024-09-24T09:07:12.00Z,47.1190491,11.3743187,2464.258,5.12,-2.81,23.21,0.912,1.192,0.35,2.02923,3.0,331.22101,15
2024-09-24T09:07:12.20Z,47.1190592,11.3743105,2459.576,5.88,-3.49,24.18,0.933,1.192,0.35,1.82383,3.0,329.30956,15
2024-09-24T09:07:12.40Z,47.1190707,11.3743005,2454.682,6.89,-4.24,25.21,0.952,1.192,0.35,1.59748,3.0,328.40445,14
2024-09-24T09:07:12.60Z,47.1190838,11.3742885,2449.567,7.91,-5.04,25.87,0.97,1.193,0.37,1.51734,3.0,327.50477,14
2024-09-24T09:07:12.80Z,47.1190988,11.3742741,2444.329,8.85,-6.07,26.44,0.988,1.196,0.37,1.40807,3.0,325.55769,14
2024-09-24T09:07:13.00Z,47.1191149,11.3742572,2438.937,9.45,-6.91,27.11,1.004,1.199,0.37,1.31844,3.0,323.81298,14
2024-09-24T09:07:13.20Z,47.1191328,11.3742372,2433.427,10.39,-8.2,27.78,1.02,1.201,0.34,1.15725,3.0,321.72717,14
2024-09-24T09:07:13.40Z,47.1191521,11.3742141,2427.777,11.21,-9.34,28.15,1.032,1.203,0.34,1.01144,3.0,320.20018,14
2024-09-24T09:07:13.60Z,47.1191727,11.3741879,2422.072,11.68,-10.34,28.64,1.041,1.199,0.33,0.83811,3.0,318.48705,14
2024-09-24T09:07:13.80Z,47.1191948,11.3741586,2416.368,12.48,-11.52,28.81,1.046,1.19,0.33,0.73505,3.0,317.29261,14
2024-09-24T09:07:14.00Z,47.1192178,11.3741262,2410.568,13.26,-12.87,28.82,1.052,1.182,0.33,0.68826,3.0,315.84785,14
2024-09-24T09:07:14.20Z,47.1192421,11.3740902,2404.79,13.78,-14.21,28.92,1.056,1.172,0.35,0.69684,3.0,314.13064,14
2024-09-24T09:07:14.40Z,47.1192672,11.3740508,2398.983,14.3,-15.61,28.94,1.061,1.164,0.35,0.66941,3.0,312.49157,13
2024-09-24T09:07:14.60Z,47.1192933,11.3740077,2393.242,14.66,-17.04,28.72,1.068,1.162,0.35,0.6946,3.0,310.70638,13
2024-09-24T09:07:14.80Z,47.1193198,11.3739609,2387.498,15.0,-18.36,28.53,1.074,1.155,0.35,0.63859,3.0,309.2395,13
2024-09-24T09:07:15.00Z,47.1193473,11.3739108,2381.847,15.39,-19.62,28.33,1.084,1.155,0.4,0.73703,3.0,308.12027,13
2024-09-24T09:07:15.20Z,47.1193752,11.3738573,2376.198,15.67,-20.87,28.13,1.096,1.157,0.41,0.75245,3.0,306.89602,13
2024-09-24T09:07:15.40Z,47.1194033,11.3738008,2370.536,15.86,-22.05,28.03,1.107,1.158,0.41,0.73427,3.0,305.72468,13
2024-09-24T09:07:15.60Z,47.1194318,11.3737413,2364.913,15.94,-23.15,28.02,1.119,1.16,0.41,0.72556,3.0,304.55716,13
2024-09-24T09:07:15.80Z,47.1194606,11.3736787,2359.328,16.17,-24.29,27.88,1.13,1.164,0.44,0.7603,3.0,303.65315,13
2024-09-24T09:07:16.00Z,47.1194895,11.3736135,2353.758,16.19,-25.32,27.52,1.142,1.171,0.45,0.77841,3.0,302.59129,13
2024-09-24T09:07:16.20Z,47.1195186,11.3735456,2348.291,16.35,-26.28,27.12,1.156,1.18,0.45,0.81255,3.0,301.88927,13
2024-09-24T09:07:16.40Z,47.1195481,11.3734751,2342.894,16.58,-27.25,26.73,1.171,1.19,0.46,0.79457,3.0,301.31516,13
2024-09-24T09:07:16.60Z,47.1195777,11.3734022,2337.542,16.55,-28.15,26.48,1.186,1.202,0.49,0.84358,3.0,300.44836,13
2024-09-24T09:07:16.80Z,47.1196072,11.3733268,2332.291,16.43,-29.04,26.02,1.203,1.216,0.48,0.8354,3.0,299.49816,13
2024-09-24T09:07:17.00Z,47.119637,11.3732488,2327.182,16.67,-30.07,25.13,1.218,1.23,0.44,0.7659,3.0,299.0036,13
2024-09-24T09:07:17.20Z,47.1196666,11.3731687,2322.173,16.53,-30.84,24.61,1.231,1.244,0.44,0.77605,3.0,298.18395,13
2024-09-24T09:07:17.40Z,47.1196959,11.3730863,2317.32,16.26,-31.66,24.01,1.244,1.259,0.44,0.75658,3.0,297.18159,12
2024-09-24T09:07:17.60Z,47.119725,11.3730018,2312.611,16.15,-32.47,23.36,1.256,1.274,0.43,0.74865,3.0,296.4406,12
2024-09-24T09:07:17.80Z,47.1197539,11.3729152,2308.005,16.16,-33.36,22.74,1.267,1.288,0.42,0.72024,3.0,295.84955,12
2024-09-24T09:07:18.00Z,47.1197825,11.3728264,2303.483,15.94,-34.07,22.34,1.28,1.305,0.46,0.74207,3.0,295.07579,11
2024-09-24T09:07:18.20Z,47.1198108,11.3727361,2299.061,15.73,-34.57,21.89,1.292,1.32,0.47,0.66859,3.0,294.46846,11
2024-09-24T09:07:18.40Z,47.119839,11.3726445,2294.691,15.88,-35.09,21.51,1.303,1.333,0.46,0.66871,3.0,294.35502,11
2024-09-24T09:07:18.60Z,47.1198673,11.3725519,2290.436,15.62,-35.27,21.16,1.315,1.348,0.48,0.69389,3.0,293.88748,10
2024-09-24T09:07:18.80Z,47.1198955,11.3724585,2286.263,15.63,-35.61,20.92,1.328,1.362,0.48,0.68897,3.0,293.70061,10
2024-09-24T09:07:19.00Z,47.1199237,11.3723643,2282.202,15.65,-36.05,20.4,1.339,1.375,0.47,0.67998,3.0,293.47258,11
2024-09-24T09:07:19.20Z,47.1199516,11.3722688,2278.184,15.48,-36.57,19.99,1.351,1.388,0.47,0.676,3.0,292.94426,11
2024-09-24T09:07:19.40Z,47.1199795,11.3721722,2274.208,15.59,-36.76,19.8,1.364,1.404,0.49,0.73949,3.0,292.97613,10
